offsetCenter,differenceForward,steeringAngle
-0.033,0.0447,0.1
-0.021,0.0502,0.1
-0.012,0.0554,0.1
-0.002,0.06,0.0
0.011,0.0639,0.1
0.024,0.0677,0.1
0.04,0.0739,0.1
0.055,0.0796,0.2
0.073,0.0879,0.2
0.091,0.0966,0.1
0.11,0.1047,0.1
0.132,0.1123,0.1
0.157,0.1207,0.1
0.182,0.1275,0.1
0.207,0.1344,0.1
0.235,0.1417,0.2
0.261,0.1496,0.2
0.292,0.1596,0.2
0.337,0.1744,0.2
0.377,0.1879,0.2
0.414,0.1962,0.1
0.457,0.1906,0.1
0.488,0.1855,0.1
0.517,0.1805,0.2
0.548,0.1618,0.3
0.579,0.1586,0.3
0.611,0.1562,0.2
0.646,0.154,0.2
0.681,0.1519,0.2
0.69,0.1368,0.2
0.719,0.1349,0.2
0.749,0.1337,0.3
0.783,0.1337,0.3
0.773,0.1208,0.3
0.801,0.1228,0.3
0.832,0.1248,0.2
0.858,0.1256,0.2
0.836,0.1115,0.2
0.866,0.1111,0.2
0.892,0.1109,0.3
0.921,0.1116,0.3
0.885,0.0983,0.3
0.912,0.1007,0.3
0.937,0.1028,0.2
0.964,0.104,0.2
0.915,0.0893,0.2
0.943,0.089,0.2
0.97,0.0889,0.3
0.993,0.0894,0.3
0.935,0.0759,0.3
0.955,0.0774,0.2
0.979,0.0784,0.2
1.004,0.0787,0.2
0.926,0.0626,0.2
0.949,0.062,0.2
0.972,0.0616,0.3
0.995,0.0621,0.3
0.9,0.0473,0.3
0.922,0.0494,0.3
0.943,0.0514,0.2
0.966,0.0525,0.2
0.859,0.0367,0.2
0.88,0.0366,0.2
0.902,0.0361,0.2
0.93,0.0358,0.3
0.89,0.022,0.3
0.878,0.0249,0.3
0.868,0.028,0.3
0.871,0.0316,0.2
0.955,0.0205,0.2
0.942,0.0224,0.2
0.929,0.0236,0.2
0.919,0.0248,0.3
1.01,0.0138,0.4
1.0,0.0168,0.4
0.989,0.0218,0.4
0.979,0.0275,0.4
1.062,0.0206,0.3
1.051,0.0271,0.3
1.042,0.0333,0.3
1.034,0.0387,0.2
1.027,0.0427,0.2
1.102,0.0326,0.2
1.095,0.0351,0.2
1.088,0.0356,0.1
1.154,0.02,0.1
1.147,0.0161,0.1
1.141,0.0125,0.2
1.135,0.0093,0.3
1.129,0.0068,0.3
1.183,0.0077,0.3
1.173,0.0076,0.2
1.163,0.0076,0.2
1.154,0.0075,0.2
1.194,0.021,0.2
1.182,0.0209,0.2
1.171,0.0217,0.1
1.159,0.0243,0.1
1.185,0.0416,0.1
1.171,0.0463,0.1
1.143,0.0571,0.1
1.153,0.0767,0.1
1.135,0.0822,0.2
1.116,0.0874,0.1
1.096,0.0931,0.1
1.075,0.0994,0.1
1.066,0.1181,0.1
1.039,0.125,0.1
1.011,0.1318,0.1
0.984,0.1382,0.1
0.959,0.156,0.0
0.927,0.157,0.0
0.895,0.1539,0.1
0.87,0.1509,0.1
0.842,0.1464,0.1
0.815,0.1411,0.1
0.787,0.1351,0.1
0.759,0.1287,0.1
0.733,0.1235,0.0
0.705,0.1203,0.0
0.681,0.1183,0.0
0.659,0.1167,0.1
0.637,0.1133,0.2
0.62,0.1095,0.1
0.597,0.1042,0.1
0.579,0.1005,0.0
0.56,0.0969,0.1
0.54,0.0943,0.0
0.522,0.0926,0.0
0.502,0.0918,0.0
0.485,0.0902,0.1
0.467,0.0891,0.0
0.451,0.0882,0.0
0.434,0.0872,0.1
0.417,0.0835,0.1
0.402,0.0797,0.1
0.388,0.076,0.0
0.373,0.0738,0.0
0.359,0.0721,0.0
0.346,0.0708,0.1
0.331,0.0692,0.0
0.313,0.0682,0.0
0.299,0.068,0.0
0.285,0.0665,0.1
0.273,0.0638,0.1
0.263,0.0605,0.1
0.253,0.0574,0.0
0.241,0.0547,0.0
0.229,0.0533,0.0
0.219,0.0522,0.0
0.209,0.0509,0.1
0.198,0.0487,0.0
0.189,0.0477,0.0
0.18,0.0461,0.1
0.173,0.0435,0.1
0.165,0.0402,0.0
0.157,0.0384,0.0
0.149,0.0366,0.0
0.142,0.0362,0.0
0.134,0.0355,0.0
0.128,0.0355,0.0
0.121,0.0343,0.1
0.115,0.0334,0.0
0.108,0.0326,0.0
0.102,0.0323,0.0
0.097,0.0315,0.1
0.092,0.0294,0.1
0.086,0.0264,0.0
0.08,0.0251,0.0
0.075,0.0241,0.0
0.071,0.0238,0.0
0.066,0.0236,0.0
0.061,0.024,0.0
0.056,0.0241,0.0
0.052,0.024,0.1
0.048,0.0234,0.0
0.044,0.0227,0.1
0.041,0.0202,0.1
