offsetCenter,differenceForward,steeringAngle
-0.028,0.0274,0.0
-0.024,0.0275,0.0
0.019,0.0272,0.0
0.014,0.0267,0.1
0.008,0.0254,0.0
0.003,0.025,0.0
-0.002,0.0244,0.0
-0.008,0.0244,0.0
-0.012,0.023,0.1
-0.017,0.022,0.0
-0.022,0.0209,0.0
-0.026,0.0207,0.0
-0.03,0.0202,0.0
-0.035,0.0203,0.0
-0.038,0.02,0.0
-0.043,0.0202,0.0
-0.046,0.0194,0.1
-0.05,0.0187,0.0
-0.055,0.0177,0.0
-0.058,0.0176,0.0
-0.061,0.0163,0.1
-0.065,0.0154,0.0
-0.068,0.0145,0.0
-0.071,0.0143,0.0
-0.074,0.0138,0.0
-0.077,0.0139,0.0
-0.08,0.0135,0.0
-0.083,0.0138,0.0
-0.085,0.0134,0.1
-0.088,0.0125,0.0
-0.09,0.0123,0.0
-0.093,0.0118,0.0
-0.096,0.012,0.0
-0.098,0.0116,0.0
-0.099,0.0111,0.1
-0.102,0.0099,0.0
-0.104,0.0095,0.0
-0.106,0.0089,0.0
-0.107,0.0082,0.1
-0.109,0.0068,0.0
-0.111,0.0064,0.0
-0.112,0.0057,0.0
-0.114,0.0056,0.0
-0.115,0.0052,0.0
-0.116,0.0054,0.0
-0.117,0.005,0.0
-0.118,0.0051,0.0
-0.119,0.0049,0.0
-0.12,0.0052,0.0
-0.121,0.005,0.0
-0.122,0.0052,0.0
-0.124,0.0052,0.0
-0.125,0.0048,0.0
-0.126,0.0051,0.0
-0.126,0.0051,0.0
-0.128,0.0047,0.0
-0.129,0.0049,0.0
-0.13,0.0046,0.0
-0.131,0.0049,0.0
-0.132,0.0046,0.0
-0.133,0.0049,0.0
-0.134,0.0045,0.0
-0.135,0.0047,0.0
-0.136,0.0045,0.0
-0.136,0.0049,0.0
-0.137,0.0048,0.0
-0.138,0.005,0.0
-0.139,0.0042,0.1
0.114,1.7817,0.0
0.065,1.7784,0.0
-0.141,0.0029,0.0
-0.142,0.0024,0.0
-0.143,0.0025,0.0
-0.143,0.0022,0.0
-0.144,0.0025,0.0
0.057,1.6749,0.0
0.119,1.6725,0.0
-0.145,0.0021,0.0
-0.145,0.0024,0.0
-0.146,0.0022,0.0
-0.146,0.0024,0.0
